ID,Zvalue
6014,5.986910745
441027,5.982609591
902,5.980561928
1012,5.97803958
84083,5.972639997
8228,5.967059426
221421,5.95464306
65982,5.950932318
85395,5.948684952
6136,5.946701338
54458,5.944847926
4751,5.937454504
793,5.936187008
10436,5.932960055
80059,5.927392104
8935,5.925201582
147381,5.925038265
51123,5.923655024
5734,5.921645314
7114,5.920984718
205327,5.916143927
161,5.91577658
7138,5.9132401
94134,5.888335035
10494,5.886577407
11326,5.880828695
1491,5.879847423
2937,5.876590689
63974,5.872935681
5805,5.870706187
51015,5.865947072
2629,5.865210658
1730,5.840617064
55225,5.834046402
130497,5.829449596
3838,5.827490024
26471,5.818485878
2650,5.816228731
4738,5.815217152
4043,5.814822961
60492,5.812171414
147372,5.806166494
9501,5.80132587
8437,5.799150393
79442,5.797708199
6247,5.797492432
1871,5.797079312
5582,5.793272216
84058,5.792756682
10376,5.784752994
503542,5.781090878
5119,5.770519142
57526,5.757005973
10417,5.756326465
22885,5.753114335
10776,5.744521245
3241,5.744309275
201229,5.739762598
57569,5.73450745
222865,5.732075811
81624,5.725329194
266727,5.723104729
407738,5.722972279
108,5.72263618
7355,5.721664174
2161,5.71810889
1662,5.709059116
712,5.699473016
54475,5.695762645
8193,5.686196293
5481,5.684614582
7533,5.684273548
5931,5.68353292
1316,5.680536709
11279,5.680119199
4826,5.67878619
2555,5.677129531
79033,5.676222064
400892,5.675092363
57172,5.674987812
100128731,5.673868321
285755,5.660220066
10669,5.654522091
51343,5.643329155
8732,5.643132309
5689,5.641952325
112495,5.638585421
55352,5.634079337
4088,5.633678537
7067,5.629416593
705,5.614818475
143279,5.608907889
8882,5.607975782
4604,5.604850844
445,5.604454131
5019,5.590469991
80339,5.587980905
80323,5.584411983
54847,5.574641853
11069,5.561272266
400745,5.558898032
7386,5.558056354
54472,5.554322889
23336,5.554188712
389058,5.541061141
713,5.534939298
80762,5.534096662
65264,5.527831877
145447,5.52117024
6277,5.517509041
2560,5.517169515
9270,5.516683875
5836,5.515178597
10368,5.51496797
29099,5.500731035
285533,5.483260498
4636,5.48060032
170679,5.480170759
3350,5.475970295
79077,5.466861319
51454,5.464179362
25804,5.462695522
